City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,sao joao da barra,-21.6403,-41.0511,22.24,94,100,3.99,BR,1670384586
148,mattru,7.6244,-11.8332,23.47,97,2,0.45,SL,1670384480
149,upernavik,72.7868,-56.1549,-4.67,86,97,5.01,GL,1670384586
150,asau,46.4333,26.4,2.51,95,99,2.2,RO,1670384587
151,bethel,41.3712,-73.414,13.05,87,100,3.6,US,1670384587
152,jiaojiang,28.6803,121.4428,15.0,72,100,2.85,CN,1670384588
153,lavrentiya,65.5833,-171.0,-7.3,76,94,3.35,RU,1670384588
154,bambous virieux,-20.3428,57.7575,26.79,83,75,5.66,MU,1670384588
155,lasa,46.6166,10.7002,-3.32,82,26,2.13,IT,1670384589
156,san carlos park,26.4673,-81.8015,22.76,82,0,3.09,US,1670384589
157,ilulissat,69.2167,-51.1,1.01,64,100,7.72,GL,1670384590
158,champerico,14.3,-91.9167,25.49,79,5,2.74,GT,1670384590
159,chuy,-33.6971,-53.4616,16.81,95,0,2.51,UY,1670384590
160,tilichiki,60.4667,166.1,-11.23,79,94,2.23,RU,1670384591
161,miandrivazo,-19.5167,45.4667,25.99,72,4,0.54,MG,1670384591
162,solotcha,54.7917,39.8442,-10.36,80,36,3.56,RU,1670384592
163,pabna,24.0,89.25,23.21,36,70,3.67,BD,1670384532
164,samarai,-10.6167,150.6667,29.12,70,98,4.38,PG,1670384592
165,port alfred,-33.5906,26.891,15.66,91,0,5.52,ZA,1670384592
166,honningsvag,70.9821,25.9704,1.86,87,75,7.72,NO,1670384593
167,haimen,23.1935,116.6142,19.94,61,0,4.72,CN,1670384593
168,ancud,-41.8697,-73.8203,13.04,86,100,3.26,CL,1670384594
169,lazaro cardenas,17.9583,-102.2,25.91,77,19,0.85,MX,1670384594
170,mount pleasant,32.7941,-79.8626,18.33,97,20,0.0,US,1670384017
171,vostok,46.4856,135.8833,-11.51,85,100,4.14,RU,1670384595
172,coihaique,-45.5752,-72.0662,9.34,87,0,0.0,CL,1670384595
173,saint george,37.1041,-113.5841,9.41,78,75,2.57,US,1670384596
174,leo,11.1,-2.1,22.13,21,25,3.2,BF,1670384596
175,astaneh-ye ashrafiyeh,37.2596,49.9444,6.96,88,100,2.52,IR,1670384597
176,paris,48.8534,2.3488,1.4,97,100,2.06,FR,1670384474
177,roald,62.5833,6.1333,2.64,64,20,4.63,NO,1670384597
178,moron,-34.6534,-58.6198,27.86,66,0,3.05,AR,1670384598
179,adrar,20.5022,-10.0711,23.32,36,0,2.75,MR,1670384598
180,saint-pierre,-21.3393,55.4781,26.62,73,0,8.75,RE,1670384599
181,ligayan,4.6533,119.4706,27.86,72,85,2.04,PH,1670384599
182,longyearbyen,78.2186,15.6401,-17.54,83,3,2.12,SJ,1670384504
183,kavieng,-2.5744,150.7967,28.49,73,93,5.01,PG,1670384600
184,kulhudhuffushi,6.6221,73.07,27.3,75,83,3.52,MV,1670384600
185,kabanjahe,3.1001,98.4908,21.16,85,100,1.3,ID,1670384601
186,new norfolk,-42.7826,147.0587,17.17,39,55,2.24,AU,1670384601
187,henties bay,-22.116,14.2845,12.79,94,24,1.52,NA,1670384601
188,matay,28.419,30.7792,13.06,79,0,2.64,EG,1670384602
189,fernandez,-27.9204,-63.8935,30.5,27,76,2.94,AR,1670384602
190,malinovoye ozero,51.6753,79.7825,-23.4,95,50,1.28,RU,1670384603
191,shahr-e babak,30.1165,55.1186,7.33,89,99,1.55,IR,1670384603
192,dingle,10.9995,122.6711,29.12,67,41,5.57,PH,1670384604
193,marawi,7.9986,124.2928,25.66,72,94,3.24,PH,1670384604
194,esperance,-33.8667,121.9,18.93,48,37,6.94,AU,1670384605
195,la ronge,55.1001,-105.2842,-29.86,69,0,3.09,CA,1670384605
196,tura,25.5198,90.2201,22.68,56,37,0.9,IN,1670384605
197,cherskiy,68.75,161.3,-25.69,98,100,4.98,RU,1670384606
198,deputatskiy,69.3,139.9,-30.77,92,91,1.91,RU,1670384606
199,znamenskoye,57.1281,73.8282,-20.88,100,97,1.34,RU,1670384607
200,kaeo,-35.1,173.7833,16.85,94,100,9.47,NZ,1670384607
201,feijo,-8.1642,-70.3536,23.38,82,99,0.89,BR,1670384607
202,geraldton,-28.7667,114.6,35.23,18,0,2.57,AU,1670384608
203,oskemen,49.9565,82.6119,-31.02,69,75,1.0,KZ,1670384608
204,broken hill,-31.95,141.4333,29.22,26,58,9.16,AU,1670384609
205,salinopolis,-0.6136,-47.3561,26.26,83,7,5.71,BR,1670384609
206,eureka,40.8021,-124.1637,4.96,93,0,0.45,US,1670384609
207,lata,40.1629,-8.3327,8.93,95,89,1.48,PT,1670384610
208,samana,19.2056,-69.3369,21.78,81,35,3.57,DO,1670384610
209,umm lajj,25.0213,37.2685,21.86,70,0,3.53,SA,1670384611
210,college,64.8569,-147.8028,-10.01,87,100,1.54,US,1670384611
211,nabire,-3.3667,135.4833,30.62,61,96,2.81,ID,1670384611
212,touros,-5.1989,-35.4608,25.02,83,36,5.17,BR,1670384612
213,pringsewu,-5.3582,104.9744,32.13,53,99,0.29,ID,1670384612
214,bayji,34.9311,43.487,12.31,54,0,0.87,IQ,1670384613
215,tiznit,29.5833,-9.5,14.08,66,52,1.29,MA,1670384613
216,ambilobe,-13.2,49.05,25.85,68,0,1.02,MG,1670384613
217,crawfordsville,40.0411,-86.8745,7.95,93,100,1.57,US,1670384614
218,cuamba,-14.8031,36.5372,21.95,82,99,1.75,MZ,1670384614
219,mirnyy,62.5353,113.9611,-10.98,85,100,4.92,RU,1670384615
220,sobolevo,54.4299,31.8996,-9.98,82,99,5.92,RU,1670384615
221,sampit,-2.5333,112.95,29.82,74,99,0.72,ID,1670384615
222,antanifotsy,-19.65,47.3167,15.58,80,49,1.44,MG,1670384616
223,poplar bluff,36.757,-90.3929,11.88,100,100,0.0,US,1670384616
224,makakilo city,21.3469,-158.0858,26.18,72,20,6.17,US,1670384616
225,lao cai,22.4833,103.95,16.8,87,100,0.59,VN,1670384617
226,imbituba,-28.24,-48.6703,21.92,89,79,2.66,BR,1670384617
227,tombouctou,20.0,-3.0,23.92,21,19,4.07,ML,1670384617
228,arsenyev,44.1631,133.2733,-5.04,57,63,4.51,RU,1670384618
229,hofn,64.2539,-15.2082,0.53,63,7,4.88,IS,1670384618
230,port hardy,50.6996,-127.4199,2.1,100,100,2.06,CA,1670384390
231,katsuura,35.1333,140.3,12.69,58,84,4.86,JP,1670384619
232,christchurch,-43.5333,172.6333,15.18,55,40,7.72,NZ,1670384406
233,shimoda,34.6667,138.95,14.2,58,7,9.38,JP,1670384619
234,luau,-10.7073,22.2247,17.05,98,100,1.5,AO,1670384620
235,kodiak,57.79,-152.4072,2.73,65,0,6.17,US,1670384620
